id,query,title,salary_from,salary_to,currency,employer,url,created_at,benefits,is_internal
23,Программист,Frontend-разработчик,70000,120000,KGS,Aksoft ( Asanov Manas),https://hh.ru/vacancy/120825511,2025-06-08 08:13:44.538375+00:00,,False
24,Программист,Разработчик фронтенд (junior),100000,100000,RUR,Компания ПЭК,https://hh.ru/vacancy/121432244,2025-06-08 08:13:44.542323+00:00,,False
25,Программист,Frontend-разработчик,70000,150000,RUR,ИПК Биллинговый центр,https://hh.ru/vacancy/121402621,2025-06-08 08:13:44.545908+00:00,,False
26,Программист,Frontend Developer (React),130000,,RUR,Soft Media Group,https://hh.ru/vacancy/121370658,2025-06-08 08:13:44.549778+00:00,,False
27,Программист,Web-разработчик сайтов,150000,,RUR,Бертэн,https://hh.ru/vacancy/121100186,2025-06-08 08:13:44.553060+00:00,,False
28,Программист,Golang-разработчик,80000,,RUR,ФГУП НИИ Квант,https://hh.ru/vacancy/121306927,2025-06-08 08:13:44.556004+00:00,,False
29,Программист,Middle Frontend developer,,250000,RUR,RT,https://hh.ru/vacancy/121193590,2025-06-08 08:13:44.559010+00:00,,False
30,Программист,Java developer,240000,255000,RUR,Снэп АйТи,https://hh.ru/vacancy/121371103,2025-06-08 08:13:44.561715+00:00,,False
31,Программист,Frontend-разработчик,2000,,USD,Железка,https://hh.ru/vacancy/121337444,2025-06-08 08:16:24.309161+00:00,,False
32,Программист,React.is разработчик,1000,2000,USD,ФОРТВИЖН,https://hh.ru/vacancy/121120706,2025-06-08 08:16:24.313450+00:00,,False
33,Программист,Frontend-разработчик,70000,120000,KGS,Aksoft ( Asanov Manas),https://hh.ru/vacancy/120825511,2025-06-08 08:16:24.317633+00:00,,False
34,Программист,Разработчик фронтенд (junior),100000,100000,RUR,Компания ПЭК,https://hh.ru/vacancy/121432244,2025-06-08 08:16:24.322565+00:00,,False
35,Программист,Frontend-разработчик,70000,150000,RUR,ИПК Биллинговый центр,https://hh.ru/vacancy/121402621,2025-06-08 08:16:24.326363+00:00,,False
36,Программист,Frontend Developer (React),130000,,RUR,Soft Media Group,https://hh.ru/vacancy/121370658,2025-06-08 08:16:24.329993+00:00,,False
37,Программист,Web-разработчик сайтов,150000,,RUR,Бертэн,https://hh.ru/vacancy/121100186,2025-06-08 08:16:24.333886+00:00,,False
38,Программист,Golang-разработчик,80000,,RUR,ФГУП НИИ Квант,https://hh.ru/vacancy/121306927,2025-06-08 08:16:24.337372+00:00,,False
39,Программист,Middle Frontend developer,,250000,RUR,RT,https://hh.ru/vacancy/121193590,2025-06-08 08:16:24.340441+00:00,,False
40,Программист,Java developer,240000,255000,RUR,Снэп АйТи,https://hh.ru/vacancy/121371103,2025-06-08 08:16:24.343311+00:00,,False
